task_id,person_prompt,script,aspect_ratio,voice,title,notes,reference_image_uri,reference_image_url,reference_image_pid
TB25-001,竖屏9:16，固定中景，手机实拍，数字人口播首帧，22岁中国女生，鹅蛋脸、柔和眉眼、黑茶色锁骨直发、甜美邻家感，穿米白针织短袖和浅蓝高腰牛仔裤，人物居中正面坐在居家餐桌前，直视镜头，霸王茶姬茶饮完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,早八想喝点茶饮，霸王茶姬先记上，直接在淘宝闪购里看，最高25元无门槛红包，还可以叠加九折津贴卡，想喝哪杯按自己的习惯选，外卖到家少跑一趟，通勤安排也更方便，官方链接就在左下角。,9:16,明朗女声,霸王茶姬淘宝闪购提醒1,咖啡奶茶炸鸡等淘宝闪购商品+1,,,
TB25-002,竖屏9:16，固定中景，手机实拍，数字人口播首帧，21岁中国女生，圆脸、清晰眼眸、栗色齐肩微卷发、清爽主流感，穿淡蓝短袖衬衫、白色半裙和低调帆布鞋，人物居中正面坐在简洁书桌前，直视镜头，霸王茶姬茶饮完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,谁懂，下午刚忙完，本来只想随便喝点，看到霸王茶姬就想喝了，直接去淘宝闪购里看，最高25元无门槛红包，还可以叠加九折津贴卡，茶饮按自己想喝的选，配送到家，官方链接就在下方。,9:16,明朗女声,霸王茶姬淘宝闪购提醒2,咖啡奶茶炸鸡等淘宝闪购商品+2,,,
TB25-003,竖屏9:16，固定中景，手机实拍，数字人口播首帧，23岁中国女生，偏长脸、细眉明眸、黑色低马尾、清冷干净感，穿鼠尾草绿T恤和米色阔腿裤，人物居中正面坐在明亮办公桌前，直视镜头，霸王茶姬茶饮完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,公主请喝茶，今天就选霸王茶姬，打开淘宝闪购直接看，最高25元无门槛红包，还可以叠加九折津贴卡，午后想喝一杯不用特意出门，也不用多想，点好等配送到家，链接就在下方。,9:16,明朗女声,霸王茶姬淘宝闪购提醒3,咖啡奶茶炸鸡等淘宝闪购商品+3,,,
TB25-004,竖屏9:16，固定中景，手机实拍，数字人口播首帧，24岁中国女生，心形脸、自然大眼、深棕波浪长发、温柔优雅的年轻感，穿藏蓝针织开衫、浅色内搭和格纹半裙，人物居中正面坐在安静餐桌前，直视镜头，霸王茶姬茶饮完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,有人说，爱喝霸王茶姬的人，忙起来也会惦记这一杯，毕竟想喝茶饮的时候，就想先看看霸王茶姬，打开淘宝闪购看，最高25元无门槛红包，还可以叠加九折津贴卡，配送到家，链接就在下方。,9:16,明朗女声,霸王茶姬淘宝闪购提醒4,咖啡奶茶炸鸡等淘宝闪购商品+4,,,
TB25-005,竖屏9:16，固定中景，手机实拍，数字人口播首帧，22岁中国女生，柔和方脸、自然眉眼、黑色高丸子头、清爽利落感，穿浅灰卫衣、黑色阔腿裤和白色运动鞋，人物居中正面坐在简约工作台前，直视镜头，霸王茶姬茶饮完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,早八人别急着绕路，霸王茶姬在淘宝闪购里先看，最高25元无门槛红包，还可以叠加九折津贴卡，想喝茶饮就按自己的需求选，配送到家，忙完直接喝，安排起来也方便，官方链接就在左下角。,9:16,明朗女声,霸王茶姬淘宝闪购提醒5,咖啡奶茶炸鸡等淘宝闪购商品+5,,,
TB25-006,竖屏9:16，固定中景，手机实拍，数字人口播首帧，22岁中国女生，鹅蛋脸、明亮眼睛、深棕低马尾、元气自然感，穿珊瑚粉T恤、浅蓝牛仔外套和白色直筒裤，人物居中正面坐在家中餐桌前，直视镜头，干锅食品完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,下午不知道吃什么的宝子们，今天想吃干锅就去淘宝闪购里看，最高25元无门槛红包，还可以叠加九折津贴卡，按自己想吃的内容选，配送到家，我一个人都炫完了，链接就在下方。,9:16,明朗女声,干锅淘宝闪购提醒1,咖啡奶茶炸鸡等淘宝闪购商品+6,,,
TB25-007,竖屏9:16，固定中景，手机实拍，数字人口播首帧，23岁中国女生，圆脸、柔和五官、黑色自然卷中长发、邻家清爽感，穿天蓝条纹衬衫、卡其长裤和白色平底鞋，人物居中正面坐在简洁餐桌前，直视镜头，干锅食品完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,晚上想吃干锅了，可以先在淘宝闪购里看，最高25元无门槛红包，还可以叠加九折津贴卡，想吃什么按自己的习惯选，配送到家，不用特意再跑一趟，下班回家也更方便，官方链接就在左下角。,9:16,明朗女声,干锅淘宝闪购提醒2,咖啡奶茶炸鸡等淘宝闪购商品+7,,,
TB25-008,竖屏9:16，固定中景，手机实拍，数字人口播首帧，24岁中国女生，偏长脸、利落短发、清晰眉眼、甜酷简约感，穿黑色圆领针织和灰色直筒牛仔裤，人物居中正面坐在木质餐桌前，直视镜头，干锅食品完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,我的天，我要吃干锅，今天就是想吃这一口，一口下去先解馋，直接去淘宝闪购里看，最高25元无门槛红包，还可以叠加九折津贴卡，配送到家，按自己的节奏安排就好，链接就在下方。,9:16,明朗女声,干锅淘宝闪购提醒3,咖啡奶茶炸鸡等淘宝闪购商品+8,,,
TB25-009,竖屏9:16，固定中景，手机实拍，数字人口播首帧，21岁中国女生，心形脸、细致五官、栗色半扎发、甜美干净感，穿奶油黄色短袖和白色长裤，人物居中正面坐在明亮餐桌前，直视镜头，干锅食品完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,下班以后想吃干锅，打开淘宝闪购先看看，最高25元无门槛红包，还可以叠加九折津贴卡，按自己想吃的内容选，配送到家，少绕一趟路，回家也能直接安排，官方链接就在左下角。,9:16,明朗女声,干锅淘宝闪购提醒4,咖啡奶茶炸鸡等淘宝闪购商品+9,,,
TB25-010,竖屏9:16，固定中景，手机实拍，数字人口播首帧，23岁中国女生，柔和方脸、自然卷栗色长发、明亮五官、温暖清爽感，穿米色连帽卫衣和深蓝牛仔半裙，人物居中正面坐在家庭餐桌前，直视镜头，干锅食品完整放在人物面前的桌面上并远离双手，商品不由人物手持，人物不看商品、不接触商品，场景只作为背景，非商品区域无logo，无字幕。,哇塞，终于吃到干锅了，今天想吃就去淘宝闪购里看，最高25元无门槛红包，还可以叠加九折津贴卡，按自己想吃的内容选，配送到家，和家人一起品尝一下吧，一起吃更有感觉，链接就在下方。,9:16,明朗女声,干锅淘宝闪购提醒5,咖啡奶茶炸鸡等淘宝闪购商品+10,,,
